STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,NHWA_MALE,NHWA_FEMALE
Missouri,St. Charles County,7,1,23128,9717,9110
Missouri,St. Charles County,7,2,25883,10789,10390
Missouri,St. Charles County,7,3,27124,11563,11176
Missouri,St. Charles County,7,4,25681,11146,10664
Missouri,St. Charles County,7,5,23897,10207,10081
Missouri,St. Charles County,7,6,23289,10072,10057
Missouri,St. Charles County,7,7,26579,11381,11568
Missouri,St. Charles County,7,8,24930,10649,10654
Missouri,St. Charles County,7,9,25381,10812,11175
Missouri,St. Charles County,7,10,25944,11409,11869
Missouri,St. Charles County,7,11,29557,13369,13765
Missouri,St. Charles County,7,12,26744,12228,12652
Missouri,St. Charles County,7,13,21156,9367,10305
Missouri,St. Charles County,7,14,17057,7496,8456
Missouri,St. Charles County,7,15,12223,5309,6230
Missouri,St. Charles County,7,16,8601,3635,4515
Missouri,St. Charles County,7,17,6091,2469,3421
Missouri,St. Charles County,7,18,6228,1964,4060
Missouri,St. Louis County,1,0,998954,330529,358421
Missouri,St. Louis County,1,1,58606,16849,16086
Missouri,St. Louis County,1,2,62946,18986,18100
Missouri,St. Louis County,1,3,67920,21423,20248
Missouri,St. Louis County,1,4,70954,21948,20654
Missouri,St. Louis County,1,5,60220,18725,18760
Missouri,St. Louis County,1,6,63786,20923,20672
Missouri,St. Louis County,1,7,58065,18309,18512
Missouri,St. Louis County,1,8,58640,18121,18602
Missouri,St. Louis County,1,9,64123,21148,22276
Missouri,St. Louis County,1,10,76494,26813,28817
Missouri,St. Louis County,1,11,79105,28861,30719
Missouri,St. Louis County,1,12,70200,26253,28127
Missouri,St. Louis County,1,13,58402,21269,23871
Missouri,St. Louis County,1,14,42431,15031,17940
Missouri,St. Louis County,1,15,31812,11243,14143
Missouri,St. Louis County,1,16,27905,9811,13586
Missouri,St. Louis County,1,17,23749,8095,12822
Missouri,St. Louis County,1,18,23596,6721,14486
Missouri,St. Louis County,2,0,998883,330484,358381
Missouri,St. Louis County,2,1,58606,16848,16085
Missouri,St. Louis County,2,2,62943,18985,18096
Missouri,St. Louis County,2,3,67916,21421,20246
Missouri,St. Louis County,2,4,70951,21948,20652
Missouri,St. Louis County,2,5,60213,18721,18759
Missouri,St. Louis County,2,6,63772,20916,20668
Missouri,St. Louis County,2,7,58057,18300,18509
